date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-05-29,"2,486.09","2,522.14","2,485.92","2,508.32","1,956,100,000.00","2,508.32",ggg
2008-05-30,"2,519.14","2,530.16","2,510.65","2,522.66","2,153,350,000.00","2,522.66",ggg
2008-06-02,"2,514.82","2,516.37","2,471.41","2,491.53","1,972,760,000.00","2,491.53",ggg
2008-06-03,"2,500.50","2,513.89","2,460.56","2,480.48","2,148,040,000.00","2,480.48",ggg
2008-06-04,"2,473.03","2,518.71","2,471.52","2,503.14","2,153,510,000.00","2,503.14",ggg
2008-06-05,"2,509.49","2,549.94","2,504.57","2,549.94","2,254,760,000.00","2,549.94",ggg
2008-06-06,"2,528.52","2,529.97","2,474.56","2,474.56","2,192,240,000.00","2,474.56",ggg
2008-06-09,"2,483.22","2,485.00","2,429.30","2,459.46","2,084,630,000.00","2,459.46",ggg
2008-06-10,"2,436.75","2,466.28","2,432.47","2,448.94","2,081,430,000.00","2,448.94",ggg
2008-06-11,"2,444.94","2,446.28","2,394.01","2,394.01","2,065,810,000.00","2,394.01",ggg
2008-06-12,"2,414.46","2,432.88","2,388.49","2,404.35","2,276,640,000.00","2,404.35",ggg
2008-06-13,"2,423.05","2,454.50","2,417.01","2,454.50","2,106,050,000.00","2,454.50",ggg
2008-06-16,"2,443.13","2,479.95","2,441.24","2,474.78","1,871,720,000.00","2,474.78",ggg
2008-06-17,"2,481.20","2,483.19","2,456.78","2,457.73","1,798,050,000.00","2,457.73",ggg
2008-06-18,"2,444.96","2,449.18","2,422.96","2,429.71","2,030,700,000.00","2,429.71",ggg
2008-06-19,"2,427.17","2,469.15","2,412.37","2,462.06","2,294,540,000.00","2,462.06",ggg
2008-06-20,"2,441.96","2,441.96","2,394.26","2,406.09","2,570,320,000.00","2,406.09",ggg
2008-06-23,"2,416.55","2,419.69","2,384.56","2,385.74","1,916,230,000.00","2,385.74",ggg
2008-06-24,"2,375.80","2,394.86","2,352.10","2,368.28","2,195,920,000.00","2,368.28",ggg
2008-06-25,"2,376.82","2,421.25","2,376.29","2,401.26","2,153,970,000.00","2,401.26",ggg
2008-06-26,"2,365.86","2,366.16","2,321.37","2,321.37","2,300,840,000.00","2,321.37",ggg
2008-06-27,"2,319.62","2,329.94","2,290.59","2,315.63","3,403,540,000.00","2,315.63",ggg
2008-06-30,"2,312.42","2,325.49","2,292.98","2,292.98","2,096,400,000.00","2,292.98",ggg
2008-07-01,"2,274.24","2,306.91","2,255.79","2,304.97","2,653,890,000.00","2,304.97",ggg
2008-07-02,"2,311.57","2,317.20","2,251.30","2,251.46","2,376,300,000.00","2,251.46",ggg
2008-07-03,"2,261.74","2,262.96","2,227.80","2,245.38","1,423,670,000.00","2,245.38",ggg
2008-07-07,"2,263.69","2,276.54","2,214.16","2,243.32","2,363,990,000.00","2,243.32",ggg
2008-07-08,"2,244.90","2,294.44","2,233.99","2,294.44","2,462,380,000.00","2,294.44",ggg
2008-07-09,"2,290.63","2,296.03","2,234.59","2,234.89","2,285,560,000.00","2,234.89",ggg
2008-07-10,"2,239.95","2,267.67","2,223.04","2,257.85","2,300,880,000.00","2,257.85",ggg
2008-07-11,"2,233.38","2,265.86","2,203.25","2,239.08","2,340,180,000.00","2,239.08",ggg
2008-07-14,"2,262.86","2,266.44","2,207.00","2,212.87","1,997,990,000.00","2,212.87",ggg
2008-07-15,"2,197.18","2,249.12","2,167.29","2,215.71","2,798,410,000.00","2,215.71",ggg
2008-07-16,"2,219.27","2,284.85","2,205.71","2,284.85","2,425,020,000.00","2,284.85",ggg
2008-07-17,"2,296.57","2,320.77","2,274.27","2,312.30","2,570,670,000.00","2,312.30",ggg
2008-07-18,"2,286.92","2,293.18","2,269.55","2,282.78","2,225,800,000.00","2,282.78",ggg
2008-07-21,"2,290.75","2,300.32","2,270.28","2,279.53","1,859,410,000.00","2,279.53",ggg
2008-07-22,"2,256.32","2,303.96","2,252.84","2,303.96","2,510,310,000.00","2,303.96",ggg
2008-07-23,"2,305.11","2,350.09","2,300.20","2,325.88","2,730,180,000.00","2,325.88",ggg
2008-07-24,"2,329.21","2,329.21","2,278.91","2,280.11","2,499,920,000.00","2,280.11",ggg
2008-07-25,"2,294.69","2,312.60","2,282.63","2,310.53","2,045,130,000.00","2,310.53",ggg
2008-07-28,"2,307.19","2,317.75","2,258.62","2,264.22","1,931,230,000.00","2,264.22",ggg
2008-07-29,"2,274.61","2,320.18","2,274.37","2,319.62","2,274,090,000.00","2,319.62",ggg
2008-07-30,"2,329.01","2,342.88","2,299.98","2,329.72","2,280,940,000.00","2,329.72",ggg
2008-07-31,"2,311.33","2,353.39","2,309.64","2,325.55","2,316,510,000.00","2,325.55",ggg
2008-08-01,"2,326.83","2,328.95","2,286.41","2,310.96","2,312,140,000.00","2,310.96",ggg
2008-08-04,"2,309.75","2,309.75","2,280.93","2,285.56","2,010,200,000.00","2,285.56",ggg
2008-08-05,"2,308.14","2,349.83","2,303.63","2,349.83","2,324,730,000.00","2,349.83",ggg
2008-08-06,"2,349.17","2,385.77","2,333.53","2,378.37","2,228,710,000.00","2,378.37",ggg
2008-08-07,"2,362.79","2,386.44","2,351.32","2,355.73","2,189,120,000.00","2,355.73",ggg
2008-08-08,"2,356.84","2,416.40","2,352.04","2,414.10","2,189,630,000.00","2,414.10",ggg
2008-08-11,"2,407.55","2,461.65","2,402.53","2,439.95","2,272,240,000.00","2,439.95",ggg
2008-08-12,"2,434.26","2,447.16","2,421.09","2,430.61","2,052,610,000.00","2,430.61",ggg
2008-08-13,"2,424.32","2,443.44","2,404.03","2,428.62","1,995,490,000.00","2,428.62",ggg
2008-08-14,"2,414.41","2,461.15","2,414.41","2,453.67","1,835,830,000.00","2,453.67",ggg
2008-08-15,"2,463.10","2,473.20","2,441.05","2,452.52","1,742,180,000.00","2,452.52",ggg
